gpu_ts,gpu_util,mem_util,logged_at,prompt_id,in_toks,out_toks,prompt_size,model
2025/07/11 18:47:11.455,0,0,2025-07-11T16:47:11.470338,,,,512,meta-llama/Llama-3.1-8B
2025/07/11 18:47:11.556,0,0,2025-07-11T16:47:11.570752,,,,512,meta-llama/Llama-3.1-8B
2025/07/11 18:47:11.656,0,0,2025-07-11T16:47:11.670393,,,,512,meta-llama/Llama-3.1-8B
2025/07/11 18:47:11.756,43,47,2025-07-11T16:47:11.770507,,,,512,meta-llama/Llama-3.1-8B
2025/07/11 18:47:11.856,43,47,2025-07-11T16:47:11.872041,,,,512,meta-llama/Llama-3.1-8B
2025/07/11 18:47:11.956,98,100,2025-07-11T16:47:11.970803,,,,512,meta-llama/Llama-3.1-8B
2025/07/11 18:47:12.056,98,100,2025-07-11T16:47:12.070447,0,526,12,512,meta-llama/Llama-3.1-8B
2025/07/11 18:47:12.156,98,100,2025-07-11T16:47:12.171161,0,526,12,512,meta-llama/Llama-3.1-8B
2025/07/11 18:47:12.256,98,100,2025-07-11T16:47:12.273282,0,526,12,512,meta-llama/Llama-3.1-8B
2025/07/11 18:47:12.356,38,42,2025-07-11T16:47:12.371239,0,526,12,512,meta-llama/Llama-3.1-8B
2025/07/11 18:47:12.457,38,42,2025-07-11T16:47:12.471545,0,526,12,512,meta-llama/Llama-3.1-8B
2025/07/11 18:47:12.557,0,0,2025-07-11T16:47:12.571840,0,526,12,512,meta-llama/Llama-3.1-8B
