gpu_ts,gpu_util,mem_util,logged_at,prompt_id,in_toks,out_toks,prompt_size,model
2025/07/11 18:47:16.070,0,0,2025-07-11T16:47:16.085397,,,,2048,meta-llama/Llama-3.1-8B
2025/07/11 18:47:16.171,0,0,2025-07-11T16:47:16.185530,,,,2048,meta-llama/Llama-3.1-8B
2025/07/11 18:47:16.271,0,0,2025-07-11T16:47:16.285465,,,,2048,meta-llama/Llama-3.1-8B
2025/07/11 18:47:16.371,36,41,2025-07-11T16:47:16.385550,,,,2048,meta-llama/Llama-3.1-8B
2025/07/11 18:47:16.471,36,41,2025-07-11T16:47:16.485870,,,,2048,meta-llama/Llama-3.1-8B
2025/07/11 18:47:16.572,98,100,2025-07-11T16:47:16.585922,,,,2048,meta-llama/Llama-3.1-8B
2025/07/11 18:47:16.672,98,100,2025-07-11T16:47:16.686009,,,,2048,meta-llama/Llama-3.1-8B
2025/07/11 18:47:16.772,98,100,2025-07-11T16:47:16.786406,0,2062,12,2048,meta-llama/Llama-3.1-8B
2025/07/11 18:47:16.872,98,100,2025-07-11T16:47:16.886636,0,2062,12,2048,meta-llama/Llama-3.1-8B
2025/07/11 18:47:16.972,51,56,2025-07-11T16:47:16.986813,0,2062,12,2048,meta-llama/Llama-3.1-8B
2025/07/11 18:47:17.072,51,56,2025-07-11T16:47:17.087129,0,2062,12,2048,meta-llama/Llama-3.1-8B
2025/07/11 18:47:17.172,0,0,2025-07-11T16:47:17.186885,0,2062,12,2048,meta-llama/Llama-3.1-8B
