gpu_ts,gpu_util,mem_util,logged_at,prompt_id,in_toks,out_toks,prompt_size,model
2025/07/11 18:47:09.159,0,0,2025-07-11T16:47:09.174130,,,,256,meta-llama/Llama-3.1-8B
2025/07/11 18:47:09.259,0,0,2025-07-11T16:47:09.274203,,,,256,meta-llama/Llama-3.1-8B
2025/07/11 18:47:09.359,0,0,2025-07-11T16:47:09.374376,,,,256,meta-llama/Llama-3.1-8B
2025/07/11 18:47:09.460,0,0,2025-07-11T16:47:09.474409,,,,256,meta-llama/Llama-3.1-8B
2025/07/11 18:47:09.560,93,100,2025-07-11T16:47:09.574818,,,,256,meta-llama/Llama-3.1-8B
2025/07/11 18:47:09.660,93,100,2025-07-11T16:47:09.674831,,,,256,meta-llama/Llama-3.1-8B
2025/07/11 18:47:09.760,97,100,2025-07-11T16:47:09.775551,0,270,10,256,meta-llama/Llama-3.1-8B
2025/07/11 18:47:09.860,97,100,2025-07-11T16:47:09.875054,0,270,10,256,meta-llama/Llama-3.1-8B
2025/07/11 18:47:09.960,86,95,2025-07-11T16:47:09.975153,0,270,10,256,meta-llama/Llama-3.1-8B
2025/07/11 18:47:10.060,86,95,2025-07-11T16:47:10.075038,0,270,10,256,meta-llama/Llama-3.1-8B
2025/07/11 18:47:10.160,0,0,2025-07-11T16:47:10.175425,0,270,10,256,meta-llama/Llama-3.1-8B
2025/07/11 18:47:10.261,0,0,2025-07-11T16:47:10.275603,0,270,10,256,meta-llama/Llama-3.1-8B
