gpu_ts,gpu_util,mem_util,logged_at,prompt_id,in_toks,out_toks,prompt_size,model
2025/07/11 18:47:13.770,0,0,2025-07-11T16:47:13.785309,,,,1024,meta-llama/Llama-3.1-8B
2025/07/11 18:47:13.871,0,0,2025-07-11T16:47:13.888509,,,,1024,meta-llama/Llama-3.1-8B
2025/07/11 18:47:13.971,0,0,2025-07-11T16:47:13.985579,,,,1024,meta-llama/Llama-3.1-8B
2025/07/11 18:47:14.071,0,0,2025-07-11T16:47:14.085603,,,,1024,meta-llama/Llama-3.1-8B
2025/07/11 18:47:14.171,90,100,2025-07-11T16:47:14.185804,,,,1024,meta-llama/Llama-3.1-8B
2025/07/11 18:47:14.271,90,100,2025-07-11T16:47:14.285846,,,,1024,meta-llama/Llama-3.1-8B
2025/07/11 18:47:14.371,98,100,2025-07-11T16:47:14.385949,0,1038,8,1024,meta-llama/Llama-3.1-8B
2025/07/11 18:47:14.471,98,100,2025-07-11T16:47:14.486519,0,1038,8,1024,meta-llama/Llama-3.1-8B
2025/07/11 18:47:14.572,92,100,2025-07-11T16:47:14.586316,0,1038,8,1024,meta-llama/Llama-3.1-8B
2025/07/11 18:47:14.672,92,100,2025-07-11T16:47:14.686502,0,1038,8,1024,meta-llama/Llama-3.1-8B
2025/07/11 18:47:14.772,0,0,2025-07-11T16:47:14.786445,0,1038,8,1024,meta-llama/Llama-3.1-8B
2025/07/11 18:47:14.872,0,0,2025-07-11T16:47:14.886730,0,1038,8,1024,meta-llama/Llama-3.1-8B
